,Sample #,MLII,Time,Type
0,111,1131,0:00.308,0
1,343,1097,0:00.953,0
2,571,1135,0:01.586,0
3,807,1052,0:02.242,0
4,1048,1047,0:02.911,0
5,1287,1089,0:03.575,0
6,1523,1119,0:04.231,0
7,1765,1161,0:04.903,0
8,1994,1104,0:05.539,0
9,2219,1110,0:06.164,0
10,2435,1145,0:06.764,0
11,2661,1143,0:07.392,0
12,2883,1173,0:08.008,0
13,3116,1212,0:08.656,0
14,3352,1170,0:09.311,0
15,3586,1132,0:09.961,0
16,3813,1144,0:10.592,0
17,4041,1179,0:11.225,0
18,4264,1206,0:11.844,0
19,4480,1152,0:12.444,0
20,4690,1149,0:13.028,0
21,4908,1187,0:13.633,0
22,5128,1210,0:14.244,0
23,5358,1232,0:14.883,0
24,5592,1175,0:15.533,0
25,5820,1189,0:16.167,0
26,6047,1217,0:16.797,0
27,6259,1324,0:17.386,3
28,6482,1254,0:18.006,0
29,6696,1196,0:18.600,0
30,6918,1204,0:19.217,0
31,7134,1229,0:19.817,0
32,7357,1247,0:20.436,0
33,7584,1264,0:21.067,0
34,7824,1233,0:21.733,0
35,8067,1226,0:22.408,0
36,8292,1255,0:23.033,0
37,8512,1265,0:23.644,0
38,8737,1280,0:24.269,0
39,8971,1293,0:24.919,0
40,9197,1268,0:25.547,0
41,9423,1252,0:26.175,0
42,9660,1259,0:26.833,0
43,9902,1268,0:27.506,0
44,10148,1267,0:28.189,0
45,10391,1267,0:28.864,0
46,10620,1270,0:29.500,0
47,10845,1235,0:30.125,0
48,11075,1242,0:30.764,0
49,11310,1317,0:31.417,3
50,11549,1299,0:32.081,0
51,11784,1304,0:32.733,0
52,12030,1314,0:33.417,0
53,12277,1309,0:34.103,0
54,12523,1309,0:34.786,0
55,12765,1282,0:35.458,0
56,12997,1283,0:36.103,0
57,13228,1295,0:36.744,0
58,13464,1293,0:37.400,0
59,13716,1285,0:38.100,0
60,13924,1113,0:38.678,2
61,14212,1286,0:39.478,0
62,14463,1246,0:40.175,0
63,14714,1259,0:40.872,0
64,14958,1278,0:41.550,0
65,15201,1285,0:42.225,0
66,15437,1288,0:42.881,0
67,15669,1299,0:43.525,0
68,15918,1268,0:44.217,0
69,16181,1267,0:44.947,0
70,16437,1284,0:45.658,0
71,16686,1294,0:46.350,0
72,16936,1316,0:47.044,0
73,17178,1288,0:47.717,0
74,17424,1277,0:48.400,0
75,17663,1298,0:49.064,0
76,17903,1308,0:49.731,0
77,18154,1324,0:50.428,0
78,18422,1321,0:51.172,0
79,18679,1272,0:51.886,0
80,18929,1274,0:52.581,0
81,19176,1290,0:53.267,0
82,19415,1307,0:53.931,0
83,19660,1314,0:54.611,0
84,19907,1312,0:55.297,0
85,20151,1271,0:55.975,0
86,20400,1294,0:56.667,0
87,20668,1313,0:57.411,0
88,20929,1323,0:58.136,0
89,21180,1299,0:58.833,0
90,21425,1264,0:59.514,0
91,21668,1282,1:00.189,0
92,21910,1307,1:00.861,0
93,22160,1318,1:01.556,0
94,22408,1328,1:02.244,0
95,22661,1290,1:02.947,0
96,22922,1278,1:03.672,0
97,23189,1307,1:04.414,0
98,23439,1323,1:05.108,0
99,23677,1330,1:05.769,0
100,23918,1275,1:06.439,0
101,24158,1275,1:07.106,0
102,24408,1315,1:07.800,0
103,24664,1323,1:08.511,0
104,24923,1334,1:09.231,0
105,25180,1307,1:09.944,0
106,25448,1290,1:10.689,0
107,25699,1312,1:11.386,0
108,25938,1326,1:12.050,0
109,26178,1335,1:12.717,0
110,26422,1309,1:13.394,0
111,26679,1274,1:14.108,0
112,26940,1297,1:14.833,0
113,27200,1311,1:15.556,0
114,27455,1317,1:16.264,0
115,27656,1143,1:16.822,2
116,27965,1272,1:17.681,0
117,28204,1274,1:18.344,0
118,28452,1306,1:19.033,0
119,28699,1312,1:19.719,0
120,28960,1310,1:20.444,0
121,29230,1315,1:21.194,0
122,29490,1303,1:21.917,0
123,29743,1275,1:22.619,0
124,30004,1291,1:23.344,0
125,30255,1301,1:24.042,0
126,30499,1308,1:24.719,0
127,30743,1306,1:25.397,0
128,30997,1317,1:26.103,0
129,31259,1283,1:26.831,0
130,31532,1292,1:27.589,0
131,31792,1299,1:28.311,0
132,32042,1312,1:29.006,0
133,32295,1314,1:29.708,0
134,32551,1315,1:30.419,0
135,32799,1257,1:31.108,0
136,33042,1256,1:31.783,0
137,33243,1103,1:32.342,2
138,33561,1304,1:33.225,0
139,33826,1292,1:33.961,0
140,34088,1277,1:34.689,0
141,34335,1242,1:35.375,0
142,34580,1275,1:36.056,0
143,34837,1303,1:36.769,0
144,35086,1313,1:37.461,0
145,35332,1283,1:38.144,0
146,35591,1274,1:38.864,0
147,35853,1292,1:39.592,0
148,36119,1309,1:40.331,0
149,36378,1312,1:41.050,0
150,36627,1311,1:41.742,0
151,36874,1265,1:42.428,0
152,37131,1280,1:43.142,0
153,37383,1294,1:43.842,0
154,37639,1299,1:44.553,0
155,37902,1310,1:45.283,0
156,38165,1264,1:46.014,0
157,38431,1274,1:46.753,0
158,38691,1301,1:47.475,0
159,38937,1313,1:48.158,0
160,39178,1321,1:48.828,0
161,39434,1309,1:49.539,0
162,39691,1291,1:50.253,0
163,39952,1313,1:50.978,0
164,40212,1340,1:51.700,0
165,40473,1355,1:52.425,0
166,40729,1361,1:53.136,0
167,40984,1325,1:53.844,0
168,41228,1332,1:54.522,0
169,41470,1354,1:55.194,0
170,41721,1365,1:55.892,0
171,41989,1370,1:56.636,0
172,42251,1368,1:57.364,0
173,42504,1378,1:58.067,0
174,42764,1366,1:58.789,0
175,43012,1338,1:59.478,0
176,43264,1356,2:00.178,0
177,43512,1369,2:00.867,0
178,43760,1376,2:01.556,0
179,44010,1365,2:02.250,0
180,44283,1359,2:03.008,0
181,44547,1365,2:03.742,0
182,44800,1364,2:04.444,0
183,45054,1364,2:05.150,0
184,45302,1324,2:05.839,0
185,45549,1331,2:06.525,0
186,45777,1148,2:07.158,2
187,46046,1351,2:07.906,0
188,46292,1338,2:08.589,0
189,46556,1346,2:09.322,0
190,46820,1308,2:10.056,0
191,47076,1271,2:10.767,0
192,47316,1273,2:11.433,0
193,47558,1300,2:12.106,0
194,47796,1313,2:12.767,0
195,48044,1318,2:13.456,0
196,48291,1314,2:14.142,0
197,48546,1255,2:14.850,0
198,48805,1266,2:15.569,0
199,49073,1281,2:16.314,0
200,49328,1286,2:17.022,0
201,49567,1303,2:17.686,0
202,49809,1260,2:18.358,0
203,50049,1235,2:19.025,0
204,50300,1271,2:19.722,0
205,50558,1294,2:20.439,0
206,50810,1298,2:21.139,0
207,51062,1317,2:21.839,0
208,51329,1258,2:22.581,0
209,51580,1254,2:23.278,0
210,51821,1281,2:23.947,0
211,52059,1308,2:24.608,0
212,52302,1322,2:25.283,0
213,52550,1328,2:25.972,0
214,52812,1281,2:26.700,0
215,53068,1288,2:27.411,0
216,53319,1315,2:28.108,0
217,53578,1323,2:28.828,0
218,53833,1328,2:29.536,0
219,54073,1274,2:30.203,0
220,54307,1290,2:30.853,0
221,54550,1310,2:31.528,0
222,54793,1319,2:32.203,0
223,55049,1332,2:32.914,0
224,55306,1299,2:33.628,0
225,55560,1284,2:34.333,0
226,55805,1306,2:35.014,0
227,56057,1324,2:35.714,0
228,56297,1330,2:36.381,0
229,56532,1283,2:37.033,0
230,56773,1288,2:37.703,0
231,57021,1307,2:38.392,0
232,57283,1316,2:39.119,0
233,57550,1319,2:39.861,0
234,57803,1328,2:40.564,0
235,58049,1287,2:41.247,0
236,58299,1301,2:41.942,0
237,58547,1319,2:42.631,0
238,58793,1326,2:43.314,0
239,59037,1334,2:43.992,0
240,59295,1336,2:44.708,0
241,59561,1311,2:45.447,0
242,59829,1312,2:46.192,0
243,60083,1319,2:46.897,0
244,60329,1326,2:47.581,0
245,60581,1326,2:48.281,0
246,60833,1340,2:48.981,0
247,61081,1340,2:49.669,0
248,61333,1317,2:50.369,0
249,61597,1333,2:51.103,0
250,61859,1343,2:51.831,0
251,62126,1344,2:52.572,0
252,62378,1353,2:53.272,0
253,62620,1360,2:53.944,0
254,62865,1364,2:54.625,0
255,63120,1364,2:55.333,0
256,63370,1340,2:56.028,0
257,63620,1344,2:56.722,0
258,63879,1349,2:57.442,0
259,64131,1331,2:58.142,0
260,64389,1277,2:58.858,0
261,64636,1300,2:59.544,0
262,64875,1322,3:00.208,0
263,65108,1331,3:00.856,0
264,65357,1333,3:01.547,0
265,65609,1276,3:02.247,0
266,65862,1285,3:02.950,0
267,66112,1312,3:03.644,0
268,66370,1320,3:04.361,0
269,66626,1330,3:05.072,0
270,66878,1328,3:05.772,0
271,67118,1282,3:06.439,0
272,67355,1273,3:07.097,0
273,67609,1293,3:07.803,0
274,67871,1306,3:08.531,0
275,68133,1304,3:09.258,0
276,68388,1259,3:09.967,0
277,68646,1256,3:10.683,0
278,68895,1275,3:11.375,0
279,69145,1289,3:12.069,0
280,69386,1297,3:12.739,0
281,69629,1255,3:13.414,0
282,69881,1244,3:14.114,0
283,70148,1273,3:14.856,0
284,70409,1282,3:15.581,0
285,70662,1300,3:16.283,0
286,70916,1265,3:16.989,0
287,71160,1254,3:17.667,0
288,71406,1258,3:18.350,0
289,71656,1273,3:19.044,0
290,71902,1300,3:19.728,0
291,72150,1308,3:20.417,0
292,72417,1283,3:21.158,0
293,72681,1263,3:21.892,0
294,72937,1272,3:22.603,0
295,73185,1283,3:23.292,0
296,73432,1299,3:23.978,0
297,73676,1303,3:24.656,0
298,73929,1280,3:25.358,0
299,74180,1263,3:26.056,0
300,74432,1278,3:26.756,0
301,74697,1298,3:27.492,0
302,74970,1307,3:28.250,0
303,75226,1323,3:28.961,0
304,75466,1303,3:29.628,0
305,75712,1282,3:30.311,0
306,75954,1288,3:30.983,0
307,76206,1294,3:31.683,0
308,76463,1314,3:32.397,0
309,76726,1289,3:33.128,0
310,76984,1278,3:33.844,0
311,77256,1289,3:34.600,0
312,77511,1306,3:35.308,0
313,77754,1319,3:35.983,0
314,77999,1335,3:36.664,0
315,78248,1300,3:37.356,0
316,78506,1281,3:38.072,0
317,78771,1294,3:38.808,0
318,79032,1308,3:39.533,0
319,79288,1331,3:40.244,0
320,79550,1343,3:40.972,0
321,79803,1343,3:41.675,0
322,80049,1310,3:42.358,0
323,80290,1320,3:43.028,0
324,80539,1332,3:43.719,0
325,80797,1349,3:44.436,0
326,81065,1364,3:45.181,0
327,81324,1371,3:45.900,0
328,81578,1330,3:46.606,0
329,81835,1324,3:47.319,0
330,82089,1329,3:48.025,0
331,82335,1345,3:48.708,0
332,82576,1358,3:49.378,0
333,82829,1332,3:50.081,0
334,83085,1292,3:50.792,0
335,83354,1293,3:51.539,0
336,83616,1308,3:52.267,0
337,83868,1323,3:52.967,0
338,84119,1342,3:53.664,0
339,84378,1314,3:54.383,0
340,84622,1283,3:55.061,0
341,84823,843,3:55.619,2
342,85114,1293,3:56.428,0
343,85367,1305,3:57.131,0
344,85636,1294,3:57.878,0
345,85895,1252,3:58.597,0
346,86143,1276,3:59.286,0
347,86380,1300,3:59.944,0
348,86628,1289,4:00.633,0
349,86866,1188,4:01.294,0
350,87103,1187,4:01.953,0
351,87344,1190,4:02.622,0
352,87592,1226,4:03.311,0
353,87841,1251,4:04.003,0
354,88085,1264,4:04.681,0
355,88320,1282,4:05.333,0
356,88550,1225,4:05.972,0
357,88776,1233,4:06.600,0
358,89020,1261,4:07.278,0
359,89255,1281,4:07.931,0
360,89490,1277,4:08.583,0
361,89732,1240,4:09.256,0
362,89980,1267,4:09.944,0
363,90230,1280,4:10.639,0
364,90478,1294,4:11.328,0
365,90707,1302,4:11.964,0
366,90935,1261,4:12.597,0
367,91175,1273,4:13.264,0
368,91424,1284,4:13.956,0
369,91673,1305,4:14.647,0
370,91919,1302,4:15.331,0
371,92173,1244,4:16.036,0
372,92424,1250,4:16.733,0
373,92676,1279,4:17.433,0
374,92920,1307,4:18.111,0
375,93159,1296,4:18.775,0
376,93405,1277,4:19.458,0
377,93671,1291,4:20.197,0
378,93933,1298,4:20.925,0
379,94190,1309,4:21.639,0
380,94455,1311,4:22.375,0
381,94712,1316,4:23.089,0
382,94970,1317,4:23.806,0
383,95223,1313,4:24.508,0
384,95474,1316,4:25.206,0
385,95726,1314,4:25.906,0
386,96004,1324,4:26.678,0
387,96276,1330,4:27.433,0
388,96540,1335,4:28.167,0
389,96805,1335,4:28.903,0
