,Sample #,MLII,Time,Type
0,351,1426,0:00.975,0
1,724,1423,0:02.011,0
2,1086,1430,0:03.017,0
3,1448,1426,0:04.022,0
4,1829,1412,0:05.081,0
5,2197,1411,0:06.103,0
6,2571,1439,0:07.142,0
7,2918,1393,0:08.106,0
8,3234,1407,0:08.983,0
9,3571,1398,0:09.919,0
10,3931,1410,0:10.919,0
11,4281,1434,0:11.892,0
12,4612,1435,0:12.811,0
13,4947,1433,0:13.742,0
14,5255,1444,0:14.597,0
15,5558,1455,0:15.439,0
16,5863,1447,0:16.286,0
17,6174,1435,0:17.150,0
18,6472,1409,0:17.978,0
19,6757,1404,0:18.769,0
20,7045,1417,0:19.569,0
21,7336,1455,0:20.378,0
22,7615,1464,0:21.153,0
23,7897,1447,0:21.936,0
24,8183,1432,0:22.731,0
25,8475,1431,0:23.542,0
26,8758,1422,0:24.328,0
27,9025,1408,0:25.069,0
28,9271,1396,0:25.753,0
29,9517,1428,0:26.436,0
30,9769,1427,0:27.136,0
31,10038,1407,0:27.883,0
32,10315,1414,0:28.653,0
33,10583,1423,0:29.397,0
34,10885,1407,0:30.236,0
35,11244,1387,0:31.233,0
36,11588,1365,0:32.189,0
37,11935,1343,0:33.153,0
38,12287,1302,0:34.131,0
39,12649,1257,0:35.136,0
40,13001,1255,0:36.114,0
41,13319,1267,0:36.997,0
42,13617,1241,0:37.825,0
43,13918,1241,0:38.661,0
44,14227,1220,0:39.519,0
45,14564,1228,0:40.456,0
46,14903,1220,0:41.397,0
47,15231,1208,0:42.308,0
48,15561,1213,0:43.225,0
49,15900,1221,0:44.167,0
50,16245,1208,0:45.125,0
51,16605,1202,0:46.125,0
52,16998,1197,0:47.217,0
53,17354,1197,0:48.206,0
54,17701,1202,0:49.169,0
55,18026,1210,0:50.072,0
56,18333,1195,0:50.925,0
57,18644,1196,0:51.789,0
58,18964,1238,0:52.678,0
59,19275,1253,0:53.542,0
60,19579,1239,0:54.386,0
61,19869,1224,0:55.192,0
62,20136,1224,0:55.933,0
63,20406,1221,0:56.683,0
64,20690,1237,0:57.472,0
65,20989,1249,0:58.303,0
66,21300,1238,0:59.167,0
67,21637,1229,1:00.103,0
68,22008,1261,1:01.133,0
69,22364,1250,1:02.122,0
70,22689,1250,1:03.025,0
71,23016,1246,1:03.933,0
72,23364,1263,1:04.900,0
73,23719,1244,1:05.886,0
74,24048,1261,1:06.800,0
75,24362,1279,1:07.672,0
76,24683,1279,1:08.564,0
77,25010,1294,1:09.472,0
78,25338,1295,1:10.383,0
79,25697,1297,1:11.381,0
80,26068,1320,1:12.411,0
81,26434,1313,1:13.428,0
82,26787,1338,1:14.408,0
83,27138,1351,1:15.383,0
84,27471,1373,1:16.308,0
85,27810,1375,1:17.250,0
86,28161,1403,1:18.225,0
87,28500,1398,1:19.167,0
88,28801,1410,1:20.003,0
89,29105,1407,1:20.847,0
90,29408,1387,1:21.689,0
91,29712,1407,1:22.533,0
92,30024,1354,1:23.400,0
93,30334,1342,1:24.261,0
94,30630,1328,1:25.083,0
95,30920,1381,1:25.889,0
96,31190,1427,1:26.639,0
97,31462,1421,1:27.394,0
98,31726,1398,1:28.128,0
99,32014,1407,1:28.928,0
100,32336,1408,1:29.822,0
101,32667,1409,1:30.742,0
102,32867,1260,1:31.297,2
103,33045,1292,1:31.792,2
104,33476,1430,1:32.989,0
105,33653,1251,1:33.481,2
106,33820,1304,1:33.944,2
107,34305,1426,1:35.292,0
108,34666,1409,1:36.294,0
109,34858,1183,1:36.828,2
110,35280,1413,1:38.000,0
111,35468,1205,1:38.522,2
112,35638,1302,1:38.994,2
113,36101,1400,1:40.281,0
114,36290,1166,1:40.806,2
115,36757,1326,1:42.103,0
116,36951,1190,1:42.642,2
117,37123,1262,1:43.119,2
118,37581,1297,1:44.392,0
119,37913,1294,1:45.314,0
120,38092,1151,1:45.811,2
121,38267,1240,1:46.297,2
122,38755,1379,1:47.653,0
123,38939,1206,1:48.164,2
124,39118,1259,1:48.661,2
125,39590,1390,1:49.972,0
126,39903,1354,1:50.842,0
127,40085,1148,1:51.347,2
128,40255,1252,1:51.819,2
129,40714,1323,1:53.094,0
130,41033,1288,1:53.981,0
131,41222,1118,1:54.506,2
132,41395,1272,1:54.986,2
133,41837,1370,1:56.214,0
134,42003,1125,1:56.675,2
135,42439,1397,1:57.886,0
136,42625,1209,1:58.403,2
137,42798,1322,1:58.883,2
138,43275,1366,2:00.208,0
139,43460,1187,2:00.722,2
140,43906,1312,2:01.961,0
