,Sample #,MLII,Time,Type
0,28,842,0:00.078,0
1,313,1295,0:00.869,0
2,612,1283,0:01.700,0
3,916,1302,0:02.544,0
4,1213,1256,0:03.369,0
5,1518,1263,0:04.217,0
6,1816,1289,0:05.044,0
7,2121,1332,0:05.892,0
8,2424,1297,0:06.733,0
9,2723,1337,0:07.564,0
10,3026,1323,0:08.406,0
11,3330,1310,0:09.250,0
12,3623,1316,0:10.064,0
13,3925,1340,0:10.903,0
14,4225,1323,0:11.736,0
15,4531,1318,0:12.586,0
16,4832,1315,0:13.422,0
17,5128,1326,0:14.244,0
18,5434,1294,0:15.094,0
19,5741,1299,0:15.947,0
20,6034,1259,0:16.761,0
21,6340,1289,0:17.611,0
22,6638,1243,0:18.439,0
23,6942,1297,0:19.283,0
24,7244,1341,0:20.122,0
25,7536,1332,0:20.933,0
26,7841,1330,0:21.781,0
27,8143,1334,0:22.619,0
28,8440,1339,0:23.444,0
29,8739,1299,0:24.275,0
30,9038,1321,0:25.106,0
31,9343,1351,0:25.953,0
32,9638,1347,0:26.772,0
33,9934,1344,0:27.594,0
34,10238,1328,0:28.439,0
35,10537,1319,0:29.269,0
36,10834,1347,0:30.094,0
37,11139,1315,0:30.942,0
38,11437,1344,0:31.769,0
39,11743,1328,0:32.619,0
40,12040,1344,0:33.444,0
41,12335,1351,0:34.264,0
42,12645,1354,0:35.125,0
43,12948,1324,0:35.967,0
44,13244,1348,0:36.789,0
45,13550,1321,0:37.639,0
46,13847,1297,0:38.464,0
47,14155,1323,0:39.319,0
48,14453,1295,0:40.147,0
49,14754,1282,0:40.983,0
50,15066,1320,0:41.850,0
51,15366,1307,0:42.683,0
52,15659,1299,0:43.497,0
53,15962,1332,0:44.339,0
54,16259,1336,0:45.164,0
55,16552,1322,0:45.978,0
56,16846,1324,0:46.794,0
57,17140,1315,0:47.611,0
58,17443,1344,0:48.453,0
59,17742,1311,0:49.283,0
60,17936,1322,0:49.822,1
61,18288,1360,0:50.800,0
62,18598,1349,0:51.661,0
63,18908,1354,0:52.522,0
64,19216,1353,0:53.378,0
65,19522,1345,0:54.228,0
66,19839,1342,0:55.108,0
67,20147,1359,0:55.964,0
68,20442,1333,0:56.783,0
69,20740,1333,0:57.611,0
