,Sample #,MLII,Time,Type
0,50,1187,0:00.139,0
1,312,838,0:00.867,2
2,835,1204,0:02.319,0
3,1078,808,0:02.994,2
4,1588,1179,0:04.411,0
5,1821,825,0:05.058,2
6,2342,1178,0:06.506,0
7,2593,803,0:07.203,2
8,3111,1174,0:08.642,0
9,3357,818,0:09.325,2
10,3857,1177,0:10.714,0
11,4092,825,0:11.367,2
12,4637,1188,0:12.881,0
13,4889,832,0:13.581,2
14,5409,1184,0:15.025,0
15,5648,849,0:15.689,2
16,6160,1187,0:17.111,0
17,6408,861,0:17.800,2
18,6939,1190,0:19.275,0
19,7191,853,0:19.975,2
20,7700,1194,0:21.389,0
21,7937,885,0:22.047,2
22,8437,1197,0:23.436,0
23,8694,908,0:24.150,2
24,9215,1158,0:25.597,0
25,9463,971,0:26.286,2
26,9949,1165,0:27.636,0
27,10196,844,0:28.322,2
28,10689,1174,0:29.692,0
29,10939,858,0:30.386,2
30,11450,1150,0:31.806,0
31,11699,900,0:32.497,2
32,12197,1155,0:33.881,0
33,12436,903,0:34.544,2
34,12936,1176,0:35.933,0
35,13200,856,0:36.667,2
36,13348,1119,0:37.078,2
37,13717,806,0:38.103,0
38,13967,1098,0:38.797,2
39,14125,1183,0:39.236,2
40,14263,1266,0:39.619,2
41,14522,804,0:40.339,0
42,18825,1153,0:52.292,0
43,19070,835,0:52.972,2
44,19579,1108,0:54.386,0
45,22117,1114,1:01.436,0
46,22383,771,1:02.175,2
47,22513,944,1:02.536,2
48,22665,1230,1:02.958,2
49,22883,813,1:03.564,0
50,23174,703,1:04.372,0
51,23502,644,1:05.283,0
52,23746,1287,1:05.961,2
53,24177,1156,1:07.158,0
54,24535,731,1:08.153,0
55,24866,738,1:09.072,0
56,25185,692,1:09.958,0
57,25496,699,1:10.822,0
58,25758,1204,1:11.550,2
59,26164,725,1:12.678,0
60,26399,1137,1:13.331,2
61,26810,1154,1:14.472,0
62,27055,1328,1:15.153,2
63,27458,1143,1:16.272,0
64,27785,730,1:17.181,0
65,28039,1304,1:17.886,2
66,28182,1193,1:18.283,2
67,28717,1208,1:19.769,0
68,28965,1179,1:20.458,2
69,29115,1035,1:20.875,2
70,29455,1155,1:21.819,0
71,29847,717,1:22.908,0
72,30088,1299,1:23.578,2
73,30567,1194,1:24.908,0
74,30831,1303,1:25.642,2
75,31261,1190,1:26.836,0
76,31614,716,1:27.817,0
77,31944,716,1:28.733,0
78,32284,682,1:29.678,0
79,32637,697,1:30.658,0
80,32985,698,1:31.625,0
81,33339,718,1:32.608,0
82,33604,1269,1:33.344,2
83,33996,1173,1:34.433,0
84,34347,744,1:35.408,0
85,34708,738,1:36.411,0
86,35076,742,1:37.433,0
87,35420,724,1:38.389,0
88,35760,747,1:39.333,0
89,36105,734,1:40.292,0
90,36439,740,1:41.219,0
91,36792,760,1:42.200,0
92,37147,762,1:43.186,0
93,37500,748,1:44.167,0
94,37848,749,1:45.133,0
95,38182,770,1:46.061,0
96,38509,744,1:46.969,0
97,38867,735,1:47.964,0
98,39234,747,1:48.983,0
99,39575,758,1:49.931,0
100,39924,738,1:50.900,0
101,40264,741,1:51.844,0
102,40599,754,1:52.775,0
103,40951,727,1:53.753,0
104,41301,748,1:54.725,0
105,41654,766,1:55.706,0
106,42000,741,1:56.667,0
107,42331,780,1:57.586,0
108,42660,787,1:58.500,0
109,42985,802,1:59.403,0
110,43334,810,2:00.372,0
111,43685,791,2:01.347,0
112,44020,803,2:02.278,0
113,44354,799,2:03.206,0
114,44688,784,2:04.133,0
115,45009,797,2:05.025,0
116,45346,790,2:05.961,0
117,45687,789,2:06.908,0
118,46025,879,2:07.847,0
119,46289,1223,2:08.581,2
120,46680,818,2:09.667,0
121,46903,1135,2:10.286,2
122,47307,1112,2:11.408,0
123,47596,1229,2:12.211,2
124,47748,1185,2:12.633,2
125,48019,807,2:13.386,0
126,48247,1143,2:14.019,2
127,48669,1143,2:15.192,0
128,48885,803,2:15.792,2
129,49331,1136,2:17.031,0
130,49559,841,2:17.664,2
131,50025,1120,2:18.958,0
