,Sample #,MLII,Time,Type
0,282,1275,0:00.783,0
1,561,1487,0:01.558,0
2,837,1511,0:02.325,0
3,1104,1469,0:03.067,0
4,1369,1448,0:03.803,0
5,1639,1472,0:04.553,0
6,1909,1422,0:05.303,0
7,2180,1437,0:06.056,0
8,2447,1481,0:06.797,0
9,2718,1352,0:07.550,0
10,2987,1493,0:08.297,0
11,3255,1486,0:09.042,0
12,3529,1521,0:09.803,0
13,3796,1483,0:10.544,0
14,4067,1519,0:11.297,0
15,4344,1485,0:12.067,0
16,4614,1471,0:12.817,0
17,4886,1452,0:13.572,0
18,5164,1499,0:14.344,0
19,5434,1482,0:15.094,0
20,5706,1438,0:15.850,0
21,5977,1521,0:16.603,0
22,6254,1497,0:17.372,0
23,6532,1483,0:18.144,0
24,6802,1418,0:18.894,0
25,7085,1501,0:19.681,0
26,7360,1492,0:20.444,0
27,7633,1480,0:21.203,0
28,7910,1460,0:21.972,0
29,8183,1489,0:22.731,0
30,8457,1471,0:23.492,0
31,8738,1492,0:24.272,0
32,9010,1481,0:25.028,0
33,9283,1457,0:25.786,0
34,9561,1508,0:26.558,0
35,9831,1542,0:27.308,0
36,10101,1454,0:28.058,0
37,10372,1533,0:28.811,0
38,10643,1472,0:29.564,0
39,10918,1519,0:30.328,0
40,11188,1509,0:31.078,0
41,11460,1472,0:31.833,0
42,11734,1468,0:32.594,0
43,12012,1509,0:33.367,0
44,12283,1469,0:34.119,0
45,12551,1279,0:34.864,0
46,12825,1149,0:35.625,0
47,13112,1419,0:36.422,0
48,13387,1457,0:37.186,0
49,13666,1474,0:37.961,0
50,13950,1480,0:38.750,0
51,14221,1438,0:39.503,0
52,14497,1461,0:40.269,0
53,14772,1500,0:41.033,0
54,15045,1487,0:41.792,0
55,15319,1437,0:42.553,0
56,15590,1497,0:43.306,0
57,15863,1498,0:44.064,0
58,16137,1454,0:44.825,0
59,16415,1518,0:45.597,0
60,16686,1479,0:46.350,0
61,16953,1455,0:47.092,0
62,17229,1506,0:47.858,0
63,17512,1515,0:48.644,0
64,17789,1507,0:49.414,0
65,18069,1524,0:50.192,0
66,18351,1528,0:50.975,0
