,Sample #,MLII,Time,Type
0,124,1015,0:00.344,0
1,382,1013,0:01.061,0
2,644,995,0:01.789,0
3,892,1001,0:02.478,0
4,1149,987,0:03.192,0
5,1393,1005,0:03.869,0
6,1648,1012,0:04.578,0
7,1891,1000,0:05.253,0
8,2147,976,0:05.964,0
9,2392,985,0:06.644,0
10,2630,997,0:07.306,0
11,2880,1015,0:08.000,0
12,3128,1043,0:08.689,0
13,3377,1058,0:09.381,0
14,3622,1048,0:10.061,0
15,3871,1036,0:10.753,0
16,4119,1027,0:11.442,0
17,4368,1012,0:12.133,0
18,4624,1008,0:12.844,0
19,4871,1005,0:13.531,0
20,5119,1006,0:14.219,0
21,5361,1018,0:14.892,0
22,5617,1028,0:15.603,0
23,5865,1022,0:16.292,0
24,6109,1016,0:16.969,0
25,6361,1009,0:17.669,0
26,6610,1013,0:18.361,0
27,6862,999,0:19.061,0
28,7117,997,0:19.769,0
29,7377,999,0:20.492,0
30,7633,996,0:21.203,0
31,7887,992,0:21.908,0
32,8150,1005,0:22.639,0
33,8405,1023,0:23.347,0
34,8658,1021,0:24.050,0
35,8908,1014,0:24.744,0
36,9168,1016,0:25.467,0
37,9424,1006,0:26.178,0
38,9677,1013,0:26.881,0
39,9940,1029,0:27.611,0
40,10195,1054,0:28.319,0
41,10445,1037,0:29.014,0
42,10702,1034,0:29.728,0
43,10962,1014,0:30.450,0
44,11220,1007,0:31.167,0
45,11465,1005,0:31.847,0
46,11732,1038,0:32.589,0
47,11977,1040,0:33.269,0
48,12232,1036,0:33.978,0
49,12490,1030,0:34.694,0
50,12745,1018,0:35.403,0
51,12998,1009,0:36.106,0
52,13249,1016,0:36.803,0
53,13512,1004,0:37.533,0
54,13762,981,0:38.228,0
55,14013,980,0:38.925,0
56,14258,994,0:39.606,0
57,14506,1009,0:40.294,0
58,14757,1017,0:40.992,0
59,15000,1034,0:41.667,0
60,15260,1036,0:42.389,0
61,15509,1027,0:43.081,0
62,15759,1018,0:43.775,0
63,16014,1010,0:44.483,0
64,16269,1006,0:45.192,0
65,16528,1030,0:45.911,0
66,16779,1051,0:46.608,0
67,17034,1032,0:47.317,0
68,17282,1023,0:48.006,0
69,17535,1015,0:48.708,0
70,17790,1016,0:49.417,0
71,18049,1016,0:50.136,0
72,18295,1011,0:50.819,0
73,18546,1037,0:51.517,0
74,18801,1063,0:52.225,0
75,19050,1060,0:52.917,0
76,19305,1045,0:53.625,0
77,19552,1044,0:54.311,0
