,Sample #,MLII,Time,Type
0,309,1265,0:00.858,0
1,503,1401,0:01.397,2
2,977,1253,0:02.714,0
3,1315,1258,0:03.653,0
4,1651,1246,0:04.586,0
5,1971,1257,0:05.475,0
6,2294,1265,0:06.372,0
7,2488,1411,0:06.911,2
8,2956,1293,0:08.211,0
9,3296,1280,0:09.156,0
10,3613,1277,0:10.036,0
11,3923,1253,0:10.897,0
12,4257,1265,0:11.825,0
13,4448,1413,0:12.356,2
14,4906,1298,0:13.628,0
15,5239,1286,0:14.553,0
16,5552,1271,0:15.422,0
17,5882,1294,0:16.339,0
18,6210,1278,0:17.250,0
19,6521,1264,0:18.114,0
20,6864,1283,0:19.067,0
21,7200,1281,0:20.000,0
22,7512,1283,0:20.867,0
23,7709,1452,0:21.414,2
24,8178,1285,0:22.717,0
25,8377,1455,0:23.269,2
26,8860,1297,0:24.611,0
27,9052,1468,0:25.144,2
28,9531,1309,0:26.475,0
29,9736,1469,0:27.044,2
30,10194,1314,0:28.317,0
31,10421,1421,0:28.947,2
32,10867,1306,0:30.186,0
33,11065,1485,0:30.736,2
34,11545,1323,0:32.069,0
35,11863,1316,0:32.953,0
36,12186,1301,0:33.850,0
37,12502,1285,0:34.728,0
38,12804,1268,0:35.567,0
39,12999,1445,0:36.108,2
40,13462,1281,0:37.394,0
41,13657,1457,0:37.936,2
42,14120,1252,0:39.222,0
43,14325,1437,0:39.792,2
44,14788,1280,0:41.078,0
45,14981,1482,0:41.614,2
46,15451,1307,0:42.919,0
47,15768,1289,0:43.800,0
48,16080,1293,0:44.667,0
49,16405,1275,0:45.569,0
50,16720,1267,0:46.444,0
51,16908,1445,0:46.967,2
52,17391,1273,0:48.308,0
53,17722,1266,0:49.228,0
54,17913,1439,0:49.758,2
55,18388,1265,0:51.078,0
56,18726,1286,0:52.017,0
57,18921,1458,0:52.558,2
58,19403,1313,0:53.897,0
59,19616,1458,0:54.489,2
60,20104,1297,0:55.844,0
61,20437,1306,0:56.769,0
62,20628,1456,0:57.300,2
63,21102,1277,0:58.617,0
64,21296,1445,0:59.156,2
65,21763,1272,1:00.453,0
66,21970,1442,1:01.028,2
67,22411,1290,1:02.253,0
68,22744,1281,1:03.178,0
69,23062,1250,1:04.061,0
70,23381,1247,1:04.947,0
71,23722,1260,1:05.894,0
72,24054,1273,1:06.817,0
73,24406,1262,1:07.794,0
74,24747,1270,1:08.742,0
75,25070,1259,1:09.639,0
76,25263,1411,1:10.175,2
77,25756,1275,1:11.544,0
78,26072,1259,1:12.422,0
79,26402,1271,1:13.339,0
80,26729,1250,1:14.247,0
81,27047,1246,1:15.131,0
82,27366,1244,1:16.017,0
83,27695,1258,1:16.931,0
84,27883,1403,1:17.453,2
85,28371,1280,1:18.808,0
86,28718,1274,1:19.772,0
87,29055,1263,1:20.708,0
88,29376,1249,1:21.600,0
89,29704,1253,1:22.511,0
90,29910,1410,1:23.083,2
91,30386,1251,1:24.406,0
92,30575,1436,1:24.931,2
93,31066,1274,1:26.294,0
94,31262,1414,1:26.839,2
95,31727,1274,1:28.131,0
96,32063,1243,1:29.064,0
97,32375,1246,1:29.931,0
98,32697,1242,1:30.825,0
99,33025,1244,1:31.736,0
100,33344,1226,1:32.622,0
101,33667,1230,1:33.519,0
102,34001,1228,1:34.447,0
103,34329,1228,1:35.358,0
104,34657,1234,1:36.269,0
105,34995,1234,1:37.208,0
106,35338,1226,1:38.161,0
107,35666,1233,1:39.072,0
108,36015,1224,1:40.042,0
109,36354,1235,1:40.983,0
110,36684,1249,1:41.900,0
111,37028,1234,1:42.856,0
112,37356,1238,1:43.767,0
113,37681,1245,1:44.669,0
114,38027,1249,1:45.631,0
115,38353,1238,1:46.536,0
116,38675,1246,1:47.431,0
117,39015,1259,1:48.375,0
118,39340,1232,1:49.278,0
119,39658,1238,1:50.161,0
120,39984,1238,1:51.067,0
121,40300,1235,1:51.944,0
122,40627,1235,1:52.853,0
123,40952,1244,1:53.756,0
124,41278,1217,1:54.661,0
125,41608,1233,1:55.578,0
126,41936,1231,1:56.489,0
127,42126,1377,1:57.017,2
128,42595,1253,1:58.319,0
129,42927,1258,1:59.242,0
130,43249,1226,2:00.136,0
131,43562,1235,2:01.006,0
132,43881,1245,2:01.892,0
133,44206,1232,2:02.794,0
134,44517,1232,2:03.658,0
135,44834,1252,2:04.539,0
