,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181
0,-6.0,-2.0,-3.0,-1.0,2.0,-4.0,-7.0,-3.0,0.0,3.0,2.0,1.0,0.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,5.0,8.0,8.0,6.0,5.0,5.0,7.0,9.0,16.0,20.0,21.0,21.0,29.0,35.0,36.0,34.0,27.0,22.0,21.0,21.0,23.0,22.0,21.0,17.0,13.0,14.0,14.0,16.0,13.0,10.0,9.0,4.0,4.0,-1.0,0.0,-1.0,1.0,3.0,3.0,1.0,0.0,-7.0,-6.0,-6.0,-3.0,0.0,-1.0,-4.0,-6.0,-1.0,3.0,2.0,-1.0,-8.0,-7.0,-8.0,-7.0,-8.0,-10.0,10.0,47.0,91.0,141.0,202.0,253.0,268.0,242.0,185.0,133.0,87.0,53.0,35.0,26.0,16.0,15.0,13.0,9.0,3.0,0.0,-5.0,-11.0,-13.0,-18.0,-17.0,-15.0,-13.0,-11.0,-13.0,-17.0,-21.0,-22.0,-19.0,-16.0,-20.0,-18.0,-20.0,-16.0,-17.0,-16.0,-17.0,-21.0,-23.0,-22.0,-17.0,-16.0,-18.0,-20.0,-20.0,-18.0,-16.0,-16.0,-16.0,-19.0,-20.0,-20.0,-19.0,-17.0,-16.0,-19.0,-23.0,-21.0,-18.0,-15.0,-14.0,-17.0,-21.0,-18.0,-15.0,-14.0,-16.0,-16.0,-18.0,-19.0,-14.0,-11.0,-11.0,-10.0,-13.0,-11.0,-8.0,-7.0,-10.0,-7.0,-10.0,-7.0,-4.0,1.0,5.0,8.0,5.0,7.0,9.0,12.0,14.0,14.0,13.0,0.0
1,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,-2.0,-1.0,-1.0,3.0,1.0,0.0,-1.0,-1.0,1.0,4.0,10.0,8.0,6.0,7.0,11.0,13.0,12.0,11.0,10.0,8.0,9.0,11.0,17.0,19.0,18.0,25.0,32.0,34.0,35.0,30.0,25.0,24.0,25.0,23.0,20.0,18.0,15.0,17.0,17.0,19.0,16.0,13.0,10.0,11.0,10.0,7.0,7.0,3.0,-3.0,-2.0,-1.0,2.0,0.0,-4.0,-6.0,-4.0,-3.0,0.0,-2.0,-4.0,-6.0,-9.0,-6.0,-4.0,-5.0,-6.0,-6.0,-5.0,-3.0,-4.0,-8.0,-14.0,-20.0,-19.0,-4.0,24.0,67.0,113.0,162.0,222.0,271.0,287.0,262.0,207.0,150.0,98.0,57.0,38.0,31.0,17.0,7.0,5.0,7.0,5.0,1.0,-7.0,-16.0,-17.0,-20.0,-17.0,-20.0,-22.0,-25.0,-22.0,-21.0,-21.0,-22.0,-23.0,-23.0,-24.0,-24.0,-22.0,-21.0,-23.0,-23.0,-20.0,-19.0,-19.0,-19.0,-21.0,-24.0,-21.0,-19.0,-18.0,-20.0,-20.0,-22.0,-22.0,-19.0,-16.0,-16.0,-19.0,-20.0,-21.0,-17.0,-16.0,-14.0,-16.0,-18.0,-18.0,-16.0,-13.0,-14.0,-14.0,-15.0,-12.0,-10.0,-8.0,-8.0,-9.0,-8.0,-7.0,-4.0,-1.0,-2.0,-2.0,-5.0,-2.0,4.0,7.0,10.0,8.0,10.0,9.0,12.0,17.0,21.0,19.0,19.0,21.0,23.0,28.0,0.0
2,-7.0,-6.0,-2.0,1.0,1.0,-3.0,-5.0,-7.0,-1.0,0.0,0.0,-2.0,-4.0,-4.0,-1.0,0.0,0.0,-3.0,-3.0,-2.0,3.0,5.0,4.0,5.0,4.0,7.0,9.0,8.0,6.0,5.0,6.0,8.0,14.0,17.0,21.0,22.0,24.0,24.0,25.0,26.0,23.0,20.0,17.0,15.0,19.0,18.0,19.0,16.0,10.0,7.0,7.0,6.0,5.0,3.0,-1.0,-3.0,-3.0,-6.0,-8.0,-10.0,-9.0,-6.0,-5.0,-7.0,-13.0,-14.0,-13.0,-14.0,-12.0,-10.0,-11.0,-14.0,-15.0,-11.0,-8.0,-9.0,-13.0,-14.0,-16.0,-19.0,-20.0,-22.0,-19.0,-11.0,18.0,66.0,112.0,163.0,214.0,266.0,290.0,273.0,222.0,163.0,109.0,61.0,34.0,25.0,20.0,14.0,5.0,0.0,-1.0,0.0,-3.0,-7.0,-15.0,-19.0,-19.0,-21.0,-20.0,-21.0,-25.0,-28.0,-26.0,-24.0,-23.0,-23.0,-25.0,-28.0,-27.0,-25.0,-23.0,-25.0,-26.0,-23.0,-23.0,-20.0,-18.0,-19.0,-19.0,-21.0,-22.0,-19.0,-18.0,-15.0,-17.0,-20.0,-16.0,-14.0,-16.0,-18.0,-18.0,-17.0,-15.0,-14.0,-13.0,-15.0,-15.0,-15.0,-13.0,-14.0,-11.0,-11.0,-12.0,-16.0,-14.0,-13.0,-10.0,-12.0,-10.0,-11.0,-11.0,-10.0,-6.0,-6.0,-5.0,-6.0,-6.0,-2.0,-1.0,1.0,3.0,0.0,2.0,6.0,11.0,11.0,7.0,11.0,13.0,0.0
3,-2.0,0.0,2.0,1.0,-2.0,-2.0,-4.0,-1.0,2.0,0.0,1.0,1.0,-1.0,2.0,0.0,0.0,-2.0,0.0,1.0,4.0,7.0,7.0,7.0,7.0,7.0,9.0,13.0,13.0,12.0,7.0,8.0,15.0,24.0,28.0,32.0,35.0,37.0,37.0,37.0,33.0,33.0,30.0,28.0,27.0,28.0,27.0,24.0,20.0,19.0,18.0,18.0,16.0,11.0,6.0,4.0,3.0,5.0,2.0,2.0,-2.0,-5.0,-3.0,0.0,-2.0,-2.0,-4.0,-5.0,-4.0,-1.0,-3.0,-5.0,-6.0,-3.0,-4.0,-2.0,0.0,-2.0,-4.0,-9.0,-10.0,-12.0,-16.0,-13.0,-1.0,28.0,73.0,118.0,168.0,226.0,278.0,302.0,290.0,239.0,177.0,116.0,66.0,35.0,25.0,20.0,10.0,5.0,2.0,2.0,1.0,0.0,-6.0,-11.0,-14.0,-17.0,-18.0,-18.0,-22.0,-23.0,-22.0,-25.0,-22.0,-20.0,-20.0,-21.0,-24.0,-27.0,-24.0,-20.0,-20.0,-19.0,-20.0,-23.0,-22.0,-19.0,-20.0,-20.0,-21.0,-19.0,-19.0,-19.0,-19.0,-20.0,-20.0,-19.0,-16.0,-16.0,-18.0,-17.0,-20.0,-20.0,-16.0,-13.0,-13.0,-14.0,-16.0,-18.0,-16.0,-15.0,-13.0,-18.0,-19.0,-17.0,-15.0,-11.0,-12.0,-10.0,-12.0,-13.0,-12.0,-10.0,-11.0,-13.0,-14.0,-11.0,-7.0,-4.0,-5.0,-3.0,-3.0,-5.0,-3.0,0.0,2.0,-2.0,0.0,0.0,0.0
4,3.0,5.0,1.0,1.0,-1.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,4.0,3.0,1.0,-1.0,2.0,6.0,7.0,7.0,3.0,5.0,8.0,9.0,9.0,10.0,8.0,10.0,15.0,21.0,25.0,25.0,29.0,34.0,39.0,40.0,39.0,32.0,29.0,27.0,26.0,27.0,25.0,22.0,21.0,20.0,19.0,22.0,18.0,14.0,13.0,8.0,6.0,3.0,3.0,0.0,-2.0,-6.0,-5.0,-5.0,-7.0,-7.0,-9.0,-10.0,-7.0,-5.0,-5.0,-9.0,-12.0,-12.0,-10.0,-5.0,-7.0,-4.0,-4.0,-5.0,-8.0,-6.0,-9.0,-14.0,-14.0,-11.0,12.0,46.0,89.0,129.0,177.0,231.0,269.0,274.0,238.0,181.0,128.0,75.0,37.0,23.0,17.0,11.0,4.0,7.0,9.0,8.0,3.0,-2.0,-10.0,-15.0,-13.0,-12.0,-15.0,-14.0,-19.0,-18.0,-16.0,-17.0,-17.0,-19.0,-22.0,-22.0,-19.0,-16.0,-16.0,-17.0,-21.0,-23.0,-23.0,-21.0,-18.0,-17.0,-19.0,-19.0,-22.0,-22.0,-23.0,-23.0,-23.0,-24.0,-20.0,-19.0,-16.0,-21.0,-20.0,-24.0,-19.0,-20.0,-20.0,-24.0,-25.0,-19.0,-16.0,-11.0,-11.0,-12.0,-15.0,-17.0,-14.0,-12.0,-11.0,-14.0,-13.0,-11.0,-6.0,-9.0,-7.0,-8.0,-10.0,-10.0,-10.0,-9.0,-8.0,-9.0,-7.0,-4.0,0.0,2.0,2.0,0.0,-3.0,-1.0,1.0,7.0,0.0
5,2.0,2.0,-2.0,-3.0,-2.0,-2.0,-2.0,-4.0,-5.0,-5.0,-4.0,-4.0,0.0,-1.0,-3.0,-5.0,-5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.0,1.0,3.0,7.0,8.0,6.0,6.0,7.0,10.0,13.0,11.0,8.0,11.0,18.0,27.0,33.0,30.0,22.0,14.0,22.0,23.0,26.0,21.0,15.0,11.0,13.0,15.0,11.0,10.0,5.0,1.0,0.0,1.0,0.0,-2.0,-3.0,-6.0,-3.0,-2.0,-1.0,-1.0,-3.0,-2.0,1.0,0.0,-9.0,-18.0,-18.0,-15.0,-8.0,-1.0,2.0,-3.0,-10.0,-15.0,-17.0,-12.0,-13.0,-13.0,-16.0,-15.0,0.0,30.0,76.0,129.0,187.0,248.0,297.0,305.0,262.0,195.0,133.0,73.0,34.0,16.0,11.0,-1.0,-5.0,-9.0,-9.0,-9.0,-9.0,-16.0,-21.0,-26.0,-23.0,-19.0,-19.0,-20.0,-21.0,-25.0,-23.0,-21.0,-22.0,-20.0,-21.0,-22.0,-22.0,-20.0,-18.0,-22.0,-20.0,-24.0,-22.0,-23.0,-21.0,-23.0,-22.0,-22.0,-24.0,-22.0,-20.0,-21.0,-20.0,-21.0,-19.0,-19.0,-21.0,-19.0,-20.0,-23.0,-21.0,-18.0,-16.0,-14.0,-16.0,-22.0,-22.0,-21.0,-21.0,-20.0,-20.0,-20.0,-15.0,-14.0,-15.0,-15.0,-17.0,-16.0,-14.0,-10.0,-10.0,-14.0,-16.0,-16.0,-9.0,-6.0,-4.0,-7.0,-5.0,-5.0,-1.0,0.0,1.0,2.0,-1.0,-2.0,0.0,0.0,0.0
6,-2.0,-2.0,0.0,-1.0,0.0,1.0,2.0,4.0,5.0,6.0,6.0,7.0,3.0,2.0,1.0,0.0,3.0,6.0,4.0,3.0,1.0,1.0,4.0,9.0,11.0,10.0,8.0,7.0,6.0,12.0,15.0,13.0,11.0,13.0,19.0,26.0,31.0,39.0,42.0,40.0,41.0,37.0,36.0,33.0,31.0,30.0,28.0,27.0,27.0,26.0,27.0,27.0,28.0,25.0,22.0,21.0,21.0,19.0,20.0,15.0,6.0,2.0,4.0,2.0,1.0,4.0,0.0,2.0,-2.0,-1.0,-1.0,2.0,0.0,-1.0,-3.0,-1.0,1.0,5.0,1.0,-4.0,-11.0,-15.0,-17.0,-3.0,29.0,75.0,137.0,212.0,292.0,346.0,348.0,298.0,222.0,150.0,96.0,68.0,58.0,51.0,37.0,31.0,26.0,24.0,17.0,10.0,0.0,-4.0,-6.0,-9.0,-6.0,-9.0,-11.0,-15.0,-13.0,-12.0,-11.0,-10.0,-14.0,-16.0,-13.0,-13.0,-15.0,-17.0,-15.0,-16.0,-14.0,-13.0,-12.0,-14.0,-14.0,-16.0,-13.0,-11.0,-9.0,-12.0,-14.0,-15.0,-14.0,-11.0,-12.0,-13.0,-17.0,-19.0,-15.0,-15.0,-18.0,-20.0,-20.0,-19.0,-20.0,-16.0,-17.0,-16.0,-17.0,-16.0,-17.0,-16.0,-15.0,-15.0,-17.0,-15.0,-13.0,-10.0,-13.0,-12.0,-10.0,-9.0,-4.0,-2.0,-1.0,-2.0,-3.0,-2.0,6.0,10.0,11.0,10.0,9.0,10.0,16.0,21.0,24.0,0.0
7,1.0,0.0,-1.0,-1.0,0.0,1.0,0.0,1.0,-3.0,-1.0,1.0,2.0,2.0,-2.0,-1.0,-1.0,0.0,3.0,2.0,-2.0,-1.0,0.0,5.0,7.0,7.0,5.0,2.0,6.0,9.0,10.0,8.0,5.0,5.0,9.0,13.0,21.0,29.0,32.0,32.0,28.0,29.0,29.0,29.0,27.0,22.0,17.0,18.0,18.0,16.0,14.0,13.0,15.0,17.0,13.0,9.0,1.0,-1.0,0.0,-2.0,-2.0,-7.0,-8.0,-8.0,-9.0,-8.0,-7.0,-5.0,-4.0,-9.0,-9.0,-4.0,-4.0,-8.0,-10.0,-11.0,-11.0,-8.0,-8.0,-7.0,-9.0,-11.0,-10.0,-12.0,-6.0,20.0,65.0,127.0,202.0,278.0,328.0,325.0,273.0,204.0,138.0,87.0,62.0,55.0,47.0,37.0,29.0,25.0,24.0,19.0,12.0,9.0,8.0,6.0,5.0,2.0,3.0,5.0,4.0,-6.0,-19.0,-28.0,-33.0,-33.0,-29.0,-25.0,-24.0,-24.0,-25.0,-24.0,-23.0,-19.0,-18.0,-18.0,-18.0,-18.0,-17.0,-16.0,-14.0,-16.0,-20.0,-20.0,-15.0,-13.0,-15.0,-15.0,-17.0,-16.0,-14.0,-15.0,-15.0,-16.0,-15.0,-18.0,-18.0,-16.0,-18.0,-17.0,-16.0,-15.0,-13.0,-10.0,-8.0,-12.0,-15.0,-17.0,-11.0,-9.0,-10.0,-10.0,-11.0,-14.0,-9.0,-7.0,-5.0,-5.0,-8.0,-6.0,-1.0,0.0,1.0,1.0,1.0,7.0,9.0,10.0,8.0,7.0,0.0
8,29.0,25.0,13.0,-1.0,-10.0,-17.0,-20.0,-17.0,-13.0,-9.0,-6.0,-1.0,5.0,13.0,12.0,3.0,-8.0,-10.0,-4.0,-1.0,-2.0,-3.0,-4.0,2.0,4.0,4.0,6.0,6.0,6.0,8.0,8.0,7.0,4.0,4.0,9.0,13.0,22.0,31.0,37.0,33.0,29.0,29.0,29.0,29.0,28.0,25.0,22.0,22.0,22.0,23.0,22.0,19.0,15.0,13.0,11.0,10.0,3.0,-2.0,-3.0,-1.0,1.0,2.0,2.0,0.0,-4.0,-2.0,0.0,0.0,-1.0,-3.0,-7.0,-7.0,-2.0,0.0,-1.0,-5.0,-5.0,-5.0,-6.0,-8.0,-11.0,-18.0,-17.0,-2.0,36.0,87.0,140.0,201.0,265.0,312.0,314.0,268.0,203.0,136.0,78.0,48.0,44.0,36.0,25.0,21.0,15.0,10.0,3.0,-3.0,-8.0,-11.0,-12.0,-12.0,-13.0,-16.0,-21.0,-27.0,-28.0,-24.0,-21.0,-20.0,-18.0,-18.0,-20.0,-19.0,-19.0,-23.0,-24.0,-26.0,-26.0,-25.0,-21.0,-21.0,-21.0,-21.0,-21.0,-18.0,-17.0,-20.0,-22.0,-24.0,-26.0,-24.0,-22.0,-23.0,-22.0,-26.0,-26.0,-25.0,-21.0,-18.0,-19.0,-19.0,-22.0,-21.0,-19.0,-15.0,-18.0,-20.0,-21.0,-21.0,-19.0,-18.0,-17.0,-19.0,-20.0,-19.0,-18.0,-17.0,-17.0,-17.0,-18.0,-16.0,-14.0,-12.0,-10.0,-13.0,-13.0,-11.0,-6.0,-3.0,-4.0,-4.0,-5.0,-2.0,1.0,0.0
9,-5.0,-4.0,-2.0,-3.0,-3.0,-3.0,-2.0,2.0,2.0,0.0,-1.0,-4.0,0.0,0.0,3.0,4.0,3.0,1.0,2.0,4.0,5.0,4.0,2.0,3.0,8.0,9.0,6.0,5.0,5.0,8.0,16.0,23.0,29.0,34.0,37.0,35.0,35.0,32.0,34.0,31.0,31.0,25.0,25.0,22.0,21.0,17.0,19.0,16.0,17.0,16.0,13.0,10.0,4.0,0.0,-2.0,-3.0,-3.0,-6.0,-7.0,-9.0,-5.0,-4.0,-5.0,-6.0,-6.0,-10.0,-5.0,-4.0,-4.0,-7.0,-7.0,-9.0,-7.0,-2.0,0.0,-3.0,-7.0,-7.0,-8.0,-11.0,-16.0,-17.0,-14.0,0.0,34.0,74.0,118.0,169.0,226.0,272.0,289.0,263.0,207.0,145.0,93.0,52.0,31.0,29.0,26.0,23.0,18.0,11.0,4.0,2.0,-3.0,-9.0,-14.0,-19.0,-27.0,-26.0,-26.0,-24.0,-24.0,-29.0,-28.0,-27.0,-25.0,-26.0,-28.0,-27.0,-25.0,-25.0,-26.0,-27.0,-30.0,-29.0,-27.0,-25.0,-23.0,-21.0,-21.0,-23.0,-25.0,-20.0,-20.0,-23.0,-24.0,-25.0,-23.0,-22.0,-19.0,-20.0,-20.0,-22.0,-20.0,-18.0,-17.0,-18.0,-18.0,-21.0,-18.0,-14.0,-12.0,-13.0,-16.0,-18.0,-18.0,-17.0,-16.0,-15.0,-17.0,-19.0,-17.0,-17.0,-14.0,-14.0,-16.0,-15.0,-13.0,-11.0,-10.0,-10.0,-11.0,-10.0,-9.0,-8.0,-6.0,-5.0,-5.0,-6.0,-5.0,0.0
